,pid,tid,beers,last_modified
0,41,282,2,2018-05-17 11:19:17.569597
1,9,282,4,2018-05-17 11:19:17.571554
2,12,282,2,2018-05-17 11:19:17.571626
3,33,282,1,2018-05-17 11:19:17.571757
4,37,282,2,2018-05-17 11:19:17.571835
5,39,282,2,2018-05-17 11:19:17.571882
6,43,282,6,2018-05-17 11:19:17.571936
7,11,282,3,2018-05-17 11:19:17.571981
8,46,282,2,2018-05-17 11:19:17.572025
9,55,282,4,2018-05-17 11:19:17.572077
10,59,282,2,2018-05-17 11:19:17.572138
11,40,282,6,2018-05-17 11:19:17.572644
12,51,282,2,2018-05-17 11:19:17.572744
13,1,280,7,2018-05-17 11:19:17.573966
14,9,280,5,2018-05-17 11:19:17.574071
15,22,280,5,2018-05-17 11:19:17.574160
16,23,280,2,2018-05-17 11:19:17.574207
17,33,280,1,2018-05-17 11:19:17.574272
18,37,280,2,2018-05-17 11:19:17.574340
19,43,280,5,2018-05-17 11:19:17.574400
20,11,280,2,2018-05-17 11:19:17.574466
21,59,280,5,2018-05-17 11:19:17.574550
22,45,280,3,2018-05-17 11:19:17.574819
23,40,280,5,2018-05-17 11:19:17.575094
24,41,279,1,2018-05-17 11:19:17.575413
25,9,279,4,2018-05-17 11:19:17.575472
26,43,279,17,2018-05-17 11:19:17.575638
27,11,279,6,2018-05-17 11:19:17.575685
28,55,279,4,2018-05-17 11:19:17.575745
29,59,279,1,2018-05-17 11:19:17.575805
30,45,279,12,2018-05-17 11:19:17.576126
31,40,279,4,2018-05-17 11:19:17.576511
32,4,278,2,2018-05-17 11:19:17.576861
33,41,278,2,2018-05-17 11:19:17.576934
34,9,278,3,2018-05-17 11:19:17.576984
35,39,278,2,2018-05-17 11:19:17.577165
36,43,278,2,2018-05-17 11:19:17.577224
37,50,278,1,2018-05-17 11:19:17.577298
38,59,278,1,2018-05-17 11:19:17.577373
39,40,278,2,2018-05-17 11:19:17.577887
40,1,277,1,2018-05-17 11:19:17.578222
41,41,277,1,2018-05-17 11:19:17.578304
42,9,277,2,2018-05-17 11:19:17.578353
43,22,277,2,2018-05-17 11:19:17.578438
44,39,277,1,2018-05-17 11:19:17.578556
45,50,277,2,2018-05-17 11:19:17.578632
46,59,277,1,2018-05-17 11:19:17.578699
47,57,277,2,2018-05-17 11:19:17.579104
48,40,277,2,2018-05-17 11:19:17.579239
49,53,277,4,2018-05-17 11:19:17.579322
50,62,277,2,2018-05-17 11:19:17.579367
51,41,276,2,2018-05-17 11:19:17.579662
52,9,276,1,2018-05-17 11:19:17.579722
53,39,276,2,2018-05-17 11:19:17.579877
54,11,276,3,2018-05-17 11:19:17.579942
55,46,276,1,2018-05-17 11:19:17.579989
56,55,276,1,2018-05-17 11:19:17.580042
57,59,276,3,2018-05-17 11:19:17.580101
58,57,276,3,2018-05-17 11:19:17.580502
59,40,276,3,2018-05-17 11:19:17.580661
60,53,276,4,2018-05-17 11:19:17.580819
61,4,275,1,2018-05-17 11:19:17.581309
62,41,275,1,2018-05-17 11:19:17.581440
63,22,275,2,2018-05-17 11:19:17.581593
64,33,275,1,2018-05-17 11:19:17.581674
65,39,275,1,2018-05-17 11:19:17.581759
66,55,275,1,2018-05-17 11:19:17.581907
67,59,275,1,2018-05-17 11:19:17.581982
68,57,275,1,2018-05-17 11:19:17.582480
69,9,274,3,2018-05-17 11:19:17.583005
70,12,274,3,2018-05-17 11:19:17.583085
71,21,274,1,2018-05-17 11:19:17.583148
72,22,274,3,2018-05-17 11:19:17.583204
73,23,274,2,2018-05-17 11:19:17.583250
74,31,274,1,2018-05-17 11:19:17.583306
75,33,274,2,2018-05-17 11:19:17.583351
76,11,274,5,2018-05-17 11:19:17.583449
77,59,274,2,2018-05-17 11:19:17.583531
78,57,274,4,2018-05-17 11:19:17.583939
79,40,274,4,2018-05-17 11:19:17.584075
80,60,274,5,2018-05-17 11:19:17.584145
81,1,273,2,2018-05-17 11:19:17.584465
82,41,273,4,2018-05-17 11:19:17.584546
83,9,273,4,2018-05-17 11:19:17.584596
84,21,273,3,2018-05-17 11:19:17.584665
85,22,273,3,2018-05-17 11:19:17.584719
86,39,273,3,2018-05-17 11:19:17.584828
87,11,273,2,2018-05-17 11:19:17.584893
88,46,273,1,2018-05-17 11:19:17.584937
89,50,273,1,2018-05-17 11:19:17.584985
90,55,273,1,2018-05-17 11:19:17.585029
91,59,273,1,2018-05-17 11:19:17.585089
92,57,273,2,2018-05-17 11:19:17.585558
93,40,273,3,2018-05-17 11:19:17.585715
94,60,273,5,2018-05-17 11:19:17.585786
95,29,273,4,2018-05-17 11:19:17.585832
96,9,272,3,2018-05-17 11:19:17.586164
97,14,272,1,2018-05-17 11:19:17.586239
98,21,272,2,2018-05-17 11:19:17.586291
99,22,272,4,2018-05-17 11:19:17.586345
100,31,272,3,2018-05-17 11:19:17.586406
101,34,272,1,2018-05-17 11:19:17.586459
102,42,272,4,2018-05-17 11:19:17.586534
103,50,272,1,2018-05-17 11:19:17.586601
104,55,272,4,2018-05-17 11:19:17.586645
105,59,272,3,2018-05-17 11:19:17.586705
106,40,272,4,2018-05-17 11:19:17.587239
107,60,272,5,2018-05-17 11:19:17.587315
108,1,271,3,2018-05-17 11:19:17.587729
109,41,271,3,2018-05-17 11:19:17.587825
110,9,271,5,2018-05-17 11:19:17.587876
111,21,271,6,2018-05-17 11:19:17.587946
112,22,271,4,2018-05-17 11:19:17.588000
113,33,271,2,2018-05-17 11:19:17.588074
114,39,271,2,2018-05-17 11:19:17.588148
115,42,271,5,2018-05-17 11:19:17.588192
116,11,271,4,2018-05-17 11:19:17.588243
117,46,271,1,2018-05-17 11:19:17.588286
118,55,271,2,2018-05-17 11:19:17.588337
119,59,271,5,2018-05-17 11:19:17.588399
120,16,271,4,2018-05-17 11:19:17.588516
121,57,271,3,2018-05-17 11:19:17.588837
122,40,271,5,2018-05-17 11:19:17.588968
123,60,271,3,2018-05-17 11:19:17.589035
124,21,270,3,2018-05-17 11:19:17.589467
125,22,270,3,2018-05-17 11:19:17.589567
126,37,270,3,2018-05-17 11:19:17.589712
127,11,270,4,2018-05-17 11:19:17.589785
128,50,270,3,2018-05-17 11:19:17.589846
129,59,270,3,2018-05-17 11:19:17.589917
130,16,270,2,2018-05-17 11:19:17.590036
131,1,269,9,2018-05-17 11:19:17.590765
132,41,269,5,2018-05-17 11:19:17.590847
133,9,269,5,2018-05-17 11:19:17.590896
134,43,269,10,2018-05-17 11:19:17.591059
135,28,269,5,2018-05-17 11:19:17.591379
136,61,269,5,2018-05-17 11:19:17.591660
137,1,268,2,2018-05-17 11:19:17.592010
138,9,268,3,2018-05-17 11:19:17.592094
139,21,268,4,2018-05-17 11:19:17.592166
140,33,268,1,2018-05-17 11:19:17.592255
141,55,268,2,2018-05-17 11:19:17.592378
142,59,268,2,2018-05-17 11:19:17.592438
143,16,268,2,2018-05-17 11:19:17.592574
144,57,268,2,2018-05-17 11:19:17.592897
145,40,268,2,2018-05-17 11:19:17.593032
146,60,268,3,2018-05-17 11:19:17.593103
147,1,267,4,2018-05-17 11:19:17.593375
148,41,267,3,2018-05-17 11:19:17.593451
149,14,267,2,2018-05-17 11:19:17.593522
150,21,267,4,2018-05-17 11:19:17.593568
151,22,267,4,2018-05-17 11:19:17.593621
152,34,267,2,2018-05-17 11:19:17.593695
153,39,267,2,2018-05-17 11:19:17.593762
154,11,267,2,2018-05-17 11:19:17.593823
155,46,267,2,2018-05-17 11:19:17.593866
156,59,267,2,2018-05-17 11:19:17.593939
157,16,267,6,2018-05-17 11:19:17.594062
158,57,267,19,2018-05-17 11:19:17.594383
159,40,267,6,2018-05-17 11:19:17.594530
160,60,267,4,2018-05-17 11:19:17.594601
161,1,266,2,2018-05-17 11:19:17.594844
162,9,266,3,2018-05-17 11:19:17.594928
163,12,266,2,2018-05-17 11:19:17.594995
164,21,266,1,2018-05-17 11:19:17.595050
165,35,266,3,2018-05-17 11:19:17.595155
166,43,266,2,2018-05-17 11:19:17.595226
167,11,266,1,2018-05-17 11:19:17.595271
168,46,266,1,2018-05-17 11:19:17.595315
169,59,266,4,2018-05-17 11:19:17.595389
170,16,266,3,2018-05-17 11:19:17.595512
171,57,266,4,2018-05-17 11:19:17.595840
172,1,265,2,2018-05-17 11:19:17.596200
173,9,265,3,2018-05-17 11:19:17.596282
174,21,265,3,2018-05-17 11:19:17.596357
175,43,265,3,2018-05-17 11:19:17.596503
176,11,265,3,2018-05-17 11:19:17.596551
177,46,265,2,2018-05-17 11:19:17.596595
178,57,265,3,2018-05-17 11:19:17.597077
179,40,265,3,2018-05-17 11:19:17.597211
180,9,264,6,2018-05-17 11:19:17.597555
181,12,264,1,2018-05-17 11:19:17.597639
182,21,264,6,2018-05-17 11:19:17.597745
183,22,264,2,2018-05-17 11:19:17.597868
184,31,264,2,2018-05-17 11:19:17.598000
185,33,264,3,2018-05-17 11:19:17.598106
186,37,264,3,2018-05-17 11:19:17.598244
187,42,264,5,2018-05-17 11:19:17.598356
188,11,264,5,2018-05-17 11:19:17.598486
189,55,264,4,2018-05-17 11:19:17.598602
190,59,264,3,2018-05-17 11:19:17.598716
191,16,264,4,2018-05-17 11:19:17.598947
192,57,264,5,2018-05-17 11:19:17.599567
193,40,264,5,2018-05-17 11:19:17.599778
194,1,263,1,2018-05-17 11:19:17.600160
195,41,263,3,2018-05-17 11:19:17.600248
196,9,263,2,2018-05-17 11:19:17.600302
197,21,263,3,2018-05-17 11:19:17.600372
198,22,263,2,2018-05-17 11:19:17.600425
199,42,263,2,2018-05-17 11:19:17.600536
200,43,263,2,2018-05-17 11:19:17.600580
201,55,263,2,2018-05-17 11:19:17.600646
202,59,263,1,2018-05-17 11:19:17.600708
203,57,263,3,2018-05-17 11:19:17.601397
204,40,263,3,2018-05-17 11:19:17.601767
205,1,262,2,2018-05-17 11:19:17.602354
206,4,262,5,2018-05-17 11:19:17.602456
207,9,262,4,2018-05-17 11:19:17.602587
208,12,262,1,2018-05-17 11:19:17.602696
209,21,262,5,2018-05-17 11:19:17.602811
210,22,262,3,2018-05-17 11:19:17.602924
211,33,262,4,2018-05-17 11:19:17.603073
212,37,262,1,2018-05-17 11:19:17.603209
213,42,262,4,2018-05-17 11:19:17.603279
214,43,262,4,2018-05-17 11:19:17.603340
215,11,262,4,2018-05-17 11:19:17.603403
216,55,262,3,2018-05-17 11:19:17.603481
217,59,262,2,2018-05-17 11:19:17.603570
218,57,262,3,2018-05-17 11:19:17.604077
219,40,262,4,2018-05-17 11:19:17.604274
220,3,262,3,2018-05-17 11:19:17.604335
221,4,260,3,2018-05-17 11:19:17.605609
222,41,260,4,2018-05-17 11:19:17.605682
223,9,260,4,2018-05-17 11:19:17.605733
224,12,260,2,2018-05-17 11:19:17.605792
225,21,260,5,2018-05-17 11:19:17.605847
226,31,260,3,2018-05-17 11:19:17.605922
227,37,260,2,2018-05-17 11:19:17.605999
228,39,260,3,2018-05-17 11:19:17.606044
229,43,260,3,2018-05-17 11:19:17.606098
230,11,260,6,2018-05-17 11:19:17.606142
231,46,260,2,2018-05-17 11:19:17.606185
232,50,260,6,2018-05-17 11:19:17.606230
233,55,260,3,2018-05-17 11:19:17.606276
234,59,260,3,2018-05-17 11:19:17.606335
235,40,260,4,2018-05-17 11:19:17.606862
236,1,259,3,2018-05-17 11:19:17.607187
237,41,259,3,2018-05-17 11:19:17.607265
238,9,259,4,2018-05-17 11:19:17.607314
239,12,259,4,2018-05-17 11:19:17.607367
240,21,259,5,2018-05-17 11:19:17.607420
241,22,259,2,2018-05-17 11:19:17.607471
242,34,259,1,2018-05-17 11:19:17.607552
243,37,259,2,2018-05-17 11:19:17.607616
244,43,259,3,2018-05-17 11:19:17.607680
245,11,259,5,2018-05-17 11:19:17.607733
246,46,259,2,2018-05-17 11:19:17.607785
247,55,259,4,2018-05-17 11:19:17.607836
248,59,259,2,2018-05-17 11:19:17.607893
249,57,259,10,2018-05-17 11:19:17.608282
250,40,259,5,2018-05-17 11:19:17.608418
251,1,258,5,2018-05-17 11:19:17.608677
252,9,258,6,2018-05-17 11:19:17.608756
253,12,258,1,2018-05-17 11:19:17.608811
254,14,258,2,2018-05-17 11:19:17.608855
255,21,258,6,2018-05-17 11:19:17.608898
256,22,258,4,2018-05-17 11:19:17.608949
257,31,258,4,2018-05-17 11:19:17.609009
258,34,258,2,2018-05-17 11:19:17.609060
259,37,258,2,2018-05-17 11:19:17.609120
260,39,258,2,2018-05-17 11:19:17.609163
261,43,258,6,2018-05-17 11:19:17.609212
262,11,258,6,2018-05-17 11:19:17.609255
263,46,258,3,2018-05-17 11:19:17.609308
264,50,258,3,2018-05-17 11:19:17.609382
265,55,258,5,2018-05-17 11:19:17.609430
266,59,258,4,2018-05-17 11:19:17.609489
267,63,258,7,2018-05-17 11:19:17.609533
268,40,258,4,2018-05-17 11:19:17.610128
269,17,258,2,2018-05-17 11:19:17.610188
270,4,257,3,2018-05-17 11:19:17.610502
271,41,257,1,2018-05-17 11:19:17.610572
272,9,257,3,2018-05-17 11:19:17.610623
273,21,257,3,2018-05-17 11:19:17.610690
274,22,257,3,2018-05-17 11:19:17.610742
275,39,257,2,2018-05-17 11:19:17.610843
276,43,257,3,2018-05-17 11:19:17.610893
277,11,257,4,2018-05-17 11:19:17.610941
278,46,257,1,2018-05-17 11:19:17.610999
279,55,257,2,2018-05-17 11:19:17.611051
280,59,257,4,2018-05-17 11:19:17.611131
281,28,257,3,2018-05-17 11:19:17.611339
282,48,257,2,2018-05-17 11:19:17.611521
283,57,257,3,2018-05-17 11:19:17.611629
284,40,257,4,2018-05-17 11:19:17.611812
285,1,255,2,2018-05-17 11:19:17.612981
286,4,255,2,2018-05-17 11:19:17.613041
287,9,255,5,2018-05-17 11:19:17.613105
288,21,255,4,2018-05-17 11:19:17.613173
289,33,255,1,2018-05-17 11:19:17.613253
290,11,255,5,2018-05-17 11:19:17.613348
291,46,255,1,2018-05-17 11:19:17.613432
292,55,255,5,2018-05-17 11:19:17.613487
293,59,255,3,2018-05-17 11:19:17.613546
294,16,255,4,2018-05-17 11:19:17.613666
295,38,255,5,2018-05-17 11:19:17.613824
296,57,255,3,2018-05-17 11:19:17.614016
297,41,254,2,2018-05-17 11:19:17.614389
298,9,254,4,2018-05-17 11:19:17.614457
299,14,254,4,2018-05-17 11:19:17.614522
300,21,254,5,2018-05-17 11:19:17.614567
301,22,254,1,2018-05-17 11:19:17.614619
302,33,254,3,2018-05-17 11:19:17.614685
303,34,254,4,2018-05-17 11:19:17.614728
304,39,254,1,2018-05-17 11:19:17.614812
305,11,254,4,2018-05-17 11:19:17.614924
306,46,254,3,2018-05-17 11:19:17.615002
307,50,254,4,2018-05-17 11:19:17.615083
308,55,254,3,2018-05-17 11:19:17.615162
309,59,254,3,2018-05-17 11:19:17.615278
310,16,254,1,2018-05-17 11:19:17.615498
311,38,254,1,2018-05-17 11:19:17.615820
